Accelerometer - Spindle +Y - min,Accelerometer - Spindle -Z - min,Accelerometer - Spindle -X - min,Accelerometer - X Driving axle +Z - min,Accelerometer - X Driving axle -X - min,Accelerometer - Y Driving axle +Z - min,Accelerometer - Y Driving axle +Y - min,Accelerometer - Y Driving axle -X - min,Current - Spindle L1 - min,Current - Spindle L2 - min,Current - Spindle L3 - min,Current - Driving axle X L1 - min,Current - Driving axle X L2 - min,Current - Driving axle X L3 - min,Current - Driving axle Y L1 - min,Current - Driving axle Y L2 - min,Current - Driving axle Y L3 - min,Current - Driving axle Z L1 - min,Current - Driving axle Z L2 - min,Current - Driving axle Z L3 - min,Accelerometer - Spindle +Y - max,Accelerometer - Spindle -Z - max,Accelerometer - Spindle -X - max,Accelerometer - X Driving axle +Z - max,Accelerometer - X Driving axle -X - max,Accelerometer - Y Driving axle +Z - max,Accelerometer - Y Driving axle +Y - max,Accelerometer - Y Driving axle -X - max,Current - Spindle L1 - max,Current - Spindle L2 - max,Current - Spindle L3 - max,Current - Driving axle X L1 - max,Current - Driving axle X L2 - max,Current - Driving axle X L3 - max,Current - Driving axle Y L1 - max,Current - Driving axle Y L2 - max,Current - Driving axle Y L3 - max,Current - Driving axle Z L1 - max,Current - Driving axle Z L2 - max,Current - Driving axle Z L3 - max,Accelerometer - Spindle +Y - mean,Accelerometer - Spindle -Z - mean,Accelerometer - Spindle -X - mean,Accelerometer - X Driving axle +Z - mean,Accelerometer - X Driving axle -X - mean,Accelerometer - Y Driving axle +Z - mean,Accelerometer - Y Driving axle +Y - mean,Accelerometer - Y Driving axle -X - mean,Current - Spindle L1 - mean,Current - Spindle L2 - mean,Current - Spindle L3 - mean,Current - Driving axle X L1 - mean,Current - Driving axle X L2 - mean,Current - Driving axle X L3 - mean,Current - Driving axle Y L1 - mean,Current - Driving axle Y L2 - mean,Current - Driving axle Y L3 - mean,Current - Driving axle Z L1 - mean,Current - Driving axle Z L2 - mean,Current - Driving axle Z L3 - mean,Accelerometer - Spindle +Y - std,Accelerometer - Spindle -Z - std,Accelerometer - Spindle -X - std,Accelerometer - X Driving axle +Z - std,Accelerometer - X Driving axle -X - std,Accelerometer - Y Driving axle +Z - std,Accelerometer - Y Driving axle +Y - std,Accelerometer - Y Driving axle -X - std,Current - Spindle L1 - std,Current - Spindle L2 - std,Current - Spindle L3 - std,Current - Driving axle X L1 - std,Current - Driving axle X L2 - std,Current - Driving axle X L3 - std,Current - Driving axle Y L1 - std,Current - Driving axle Y L2 - std,Current - Driving axle Y L3 - std,Current - Driving axle Z L1 - std,Current - Driving axle Z L2 - std,Current - Driving axle Z L3 - std,Accelerometer - Spindle +Y - skew,Accelerometer - Spindle -Z - skew,Accelerometer - Spindle -X - skew,Accelerometer - X Driving axle +Z - skew,Accelerometer - X Driving axle -X - skew,Accelerometer - Y Driving axle +Z - skew,Accelerometer - Y Driving axle +Y - skew,Accelerometer - Y Driving axle -X - skew,Current - Spindle L1 - skew,Current - Spindle L2 - skew,Current - Spindle L3 - skew,Current - Driving axle X L1 - skew,Current - Driving axle X L2 - skew,Current - Driving axle X L3 - skew,Current - Driving axle Y L1 - skew,Current - Driving axle Y L2 - skew,Current - Driving axle Y L3 - skew,Current - Driving axle Z L1 - skew,Current - Driving axle Z L2 - skew,Current - Driving axle Z L3 - skew,Accelerometer - Spindle +Y - kurtosis,Accelerometer - Spindle -Z - kurtosis,Accelerometer - Spindle -X - kurtosis,Accelerometer - X Driving axle +Z - kurtosis,Accelerometer - X Driving axle -X - kurtosis,Accelerometer - Y Driving axle +Z - kurtosis,Accelerometer - Y Driving axle +Y - kurtosis,Accelerometer - Y Driving axle -X - kurtosis,Current - Spindle L1 - kurtosis,Current - Spindle L2 - kurtosis,Current - Spindle L3 - kurtosis,Current - Driving axle X L1 - kurtosis,Current - Driving axle X L2 - kurtosis,Current - Driving axle X L3 - kurtosis,Current - Driving axle Y L1 - kurtosis,Current - Driving axle Y L2 - kurtosis,Current - Driving axle Y L3 - kurtosis,Current - Driving axle Z L1 - kurtosis,Current - Driving axle Z L2 - kurtosis,Current - Driving axle Z L3 - kurtosis,NumberOfCycle,SampleIndex,MillingToolType,ADOC,RDOC,HardnessMean,ToolHolderLength,CycleToFailure,CycleToFailureNormalized,ToolID,Accel_Row_Mean,Accel_Row_STD,Accel_Row_RMS,Accel_Row_Max,Accel_Row_Min,Accel_Row_Range,Current_Row_Mean,Current_Row_STD,Current_Row_RMS,Current_Row_Max,Current_Row_Min,Current_Row_Range,Vibration_Current_Ratio,ToolHolder_Hardness_Ratio
-20620.0,-2004.0,-2097.0,-193.0,-192.0,-156.0,-115.0,-168.0,2196.0,2211.0,2805.0,296.0,310.0,314.0,261.0,286.0,333.0,308.0,319.0,360.0,2005.0,783.0,1978.0,159.0,173.0,117.0,74.0,163.0,357268.0,359996.0,360304.0,12854.0,13297.0,12994.0,14857.0,15975.0,15220.0,30696.0,29409.0,27059.0,0.9446016067742916,24.2870649740327,10.17970195697059,-11.645576812105547,18.561812111106622,20.032606169814628,-1.2451122062440865,21.28755159456245,146717.37225979802,147069.3456499583,146761.47723524505,5107.385453534698,5213.782025386825,5177.524117483554,4422.503177985732,4569.157342722135,4503.373946076161,3786.323376262392,3604.164013712592,3454.745946446771,741.6190775542586,110.66576060264256,250.19697642994413,32.03541217561138,31.695665598697968,16.390019294274907,13.041990281060231,14.350767161805306,37925.81970391386,38370.90781676425,38097.7521307897,3234.7386194735936,3289.6641844954124,3261.9485477507296,4196.917031594294,4308.164642998167,4251.715381446466,7202.323065230694,6935.879305790173,6650.133936396885,-8.162489286618888,-0.2833597157634499,-0.0740430967512661,-0.021599340538802,-0.1438521641086512,-0.3017970736450103,0.0173443116553951,-0.0864889320045341,-1.0347217863323377,-0.7895301798461923,-0.882003498244499,0.0860175545818063,0.12842815454653,0.1232384832907972,0.7570724913977849,0.824411571701327,0.787873163792327,1.957587430439916,1.9906563558769568,2.044873445519238,108.00202074360207,1.2069577721906182,0.4787754929596564,2.390417923028502,1.752066196993887,1.8269033786975228,1.6122213088755597,1.91475418040016,6.341689135467496,6.956305479189345,6.650773583069993,-0.8964809962298612,-0.8721577082860348,-0.8921658958761718,-0.5643518075289307,-0.3710054093470769,-0.4783113497496356,2.3072044218027354,2.4443149443817367,2.6687010886561504,1,2,1,5,8.0,36.67,80,49,1.0,2,-389.3848718709963,3044.8693469490804,3038.0420186663505,2005.0,-20620.0,22625.0,26362.088990693454,76015.42881318356,79956.5529280623,360304.0,-1.0347217863323377,360305.03472178633,0.03799616050684065,2.181619793247347
-19272.0,-1122.0,-1841.0,-179.0,-213.0,-173.0,-126.0,-97.0,2121.0,1933.0,2663.0,283.0,291.0,317.0,297.0,311.0,344.0,295.0,340.0,345.0,1651.0,583.0,1582.0,184.0,208.0,112.0,79.0,173.0,418692.0,414690.0,405960.0,13385.0,13690.0,13502.0,15322.0,16246.0,15670.0,53717.0,55640.0,54751.0,-0.9041611214175386,27.966125626374787,16.576631937743173,-11.567233565578949,18.883074191818576,17.11707039852241,-0.7020389124040282,21.80818205306969,153272.78110953953,154068.03413484205,153553.30485619992,5028.120414898633,5189.313374194562,5185.488920320604,5108.442149929279,5486.308565142229,5222.735690711928,5763.401980198019,5823.122740845513,5786.770674210278,686.8835219185861,106.13864199308016,252.1051192392325,30.690087984499645,31.724021022416405,15.222071011720908,12.68653430187284,14.544387440385853,53870.87487008935,54800.07646609014,53843.561172694834,3564.548480689119,3594.1800008012906,3574.1800896710192,4674.242187901428,4871.367537004894,4811.431648749681,12005.60616421497,12218.702294893286,12137.723780406412,-9.30656199938995,-0.2356153523309438,-0.0850960263043259,-0.0443394258111669,-0.2056707262879812,-0.5249221649463205,-0.0847113655947588,0.0475111912189468,-0.4924103073765789,-0.3321433696495848,-0.4931722331316836,0.2278931883378016,0.1963035191100618,0.1909278238327872,0.6924087636494126,0.711639992668278,0.720014481398297,2.5728075551596525,2.642756383281726,2.618148711437025,139.52055932511325,0.8577099911190373,0.5814280934598788,3.194668930601524,2.8972787376241778,2.796255015549524,2.013198211755162,2.226445164547248,3.521580175520329,3.800337832806374,3.287024988313653,-0.9248680921779684,-0.905057330631056,-0.905204613983698,-0.7467872219828027,-0.6443457804934907,-0.7110656959271506,5.954757950920703,6.373160723332147,6.218393570347768,2,2,1,5,8.0,36.67,80,48,0.979591837,2,-355.5870797266616,2829.881913569466,2822.73549181473,1651.0,-19272.0,20923.0,31031.84572785075,86679.90762687757,91498.79217238938,418692.0,-0.9248680921779684,418692.9248680922,0.03084997544520229,2.181619793247347
-14630.0,-1216.0,-1418.0,-849.0,-794.0,-602.0,-557.0,-664.0,1966.0,1783.0,2430.0,292.0,285.0,320.0,254.0,280.0,313.0,301.0,322.0,365.0,1503.0,667.0,1549.0,880.0,874.0,649.0,645.0,670.0,386700.0,399196.0,392198.0,18546.0,18932.0,18561.0,23048.0,23799.0,23722.0,30059.0,30781.0,28758.0,19.618136534510977,40.416921057894086,20.32069754541332,2.0709445665424067,24.64642591994796,24.59289493040416,8.247382263907499,27.110502832328788,140507.38687171423,140249.17965410504,140784.35574608165,3667.0381024910334,3817.796000589594,3817.467203852012,3476.9469857023537,3760.365842873288,3542.337566943448,2834.948336854518,2887.915589839336,2662.2311698521103,356.2338095345965,121.72045825040917,213.81577827005964,33.75726423626384,32.71840750381969,18.068655010549403,15.023285043490976,18.712431320758974,53995.56894009211,54032.61837993443,54384.20802731165,3723.369163179466,3794.535819975548,3748.8718527703786,4449.254758904554,4675.495931441893,4516.996552578256,5777.920716701552,5947.664012312722,5445.5997062563765,-4.977790886086608,-0.4243283475598586,0.0138248371885201,-0.1821054790930428,0.0291195416095979,0.183631487864599,0.3658188081110382,0.5245448357762256,-0.5474097970313416,-0.5246238231273374,-0.4544708056087179,0.9474379990234986,0.9237069540823528,0.8869321629601901,1.5581439548053415,1.5469653606984657,1.6164420461797733,2.7333081591919512,2.788880787088221,2.899030012905262,70.37977920051718,0.995548759022756,0.8926425644784581,31.17311612716228,41.68546470465167,172.81508627414965,126.0262571895307,156.02687969065536,2.6949711283668973,2.834837251432525,2.897237531849142,0.4389020109353194,0.4372243292595574,0.2930974754872593,2.0555271867004805,2.0074620418508964,2.315570262183736,6.620947846962052,6.887039123827959,7.699844165733872,3,2,1,5,8.0,36.67,80,47,0.959183673,2,-244.17496908064842,2189.5774387177303,2180.3647815593336,1549.0,-14630.0,16179.0,28607.81430466282,82009.9660929362,86317.03184795697,399196.0,-0.5474097970313416,399196.54740979703,0.025259960112792974,2.181619793247347
-15920.0,-1191.0,-2142.0,-201.0,-357.0,-217.0,-118.0,-196.0,1917.0,1717.0,2328.0,287.0,284.0,318.0,260.0,278.0,315.0,315.0,336.0,364.0,1637.0,736.0,1641.0,197.0,220.0,259.0,134.0,236.0,408847.0,414211.0,401624.0,9360.0,10456.0,9796.0,19476.0,20218.0,19757.0,53655.0,55397.0,54538.0,0.580999246097147,15.574827178279737,15.17222995292611,-5.386941594638282,19.71703312750676,19.713510364935928,2.6980054056090155,22.62756434787403,139464.86306193192,139296.09299342195,139238.2446433933,3441.1672080137564,3603.6414826541472,3605.482599557824,4428.5779949231655,4687.936539563829,4487.194557414636,6958.199115648115,6896.851379752709,6834.332150558179,381.2448419067592,119.60925344137944,214.95084992395067,24.71694683605821,25.826218799642508,10.746694508775132,10.038276935842823,11.967553733609922,52658.90126315861,53077.56143377957,52118.64296122623,3175.931906578182,3272.478609900334,3233.639319333703,4143.469238983088,4211.43972487478,4229.815614592396,12106.935805210618,12218.48188462967,12080.503680800715,-6.816490102796722,-0.3171508644386248,0.0056687843362004,0.0140363496423761,-0.0758946497228455,-0.0716390158141435,0.2473945911981888,0.0773239618729631,-0.427827155050038,-0.3720222373851869,-0.5107927398199276,0.4429159112791368,0.3884931015381903,0.3783654968087978,0.754952182035349,0.7542757977454794,0.8176350959268937,2.133405783939749,2.23427319982902,2.2365322344297858,117.28840627952724,0.9517377778295888,0.702123116386185,6.872465140774228,4.626021599267293,11.326415912837938,3.84136318978553,11.083906681141642,3.772093991694974,3.8397456929239135,3.5795488886220577,-1.2982077025634828,-1.34608833574681,-1.3592305202874264,-0.0897853935613666,0.0372639448680907,0.0583054058122307,3.912983955409234,4.429436225497019,4.404187024649121,4,2,1,5,8.0,36.67,80,46,0.93877551,2,-296.7176343152825,2360.400525850229,2354.4551971168016,1641.0,-15920.0,17561.0,30077.12716152431,84970.32742688498,89578.52949850072,414211.0,-1.3592305202874264,414212.35923052026,0.026283700014632688,2.181619793247347
-20374.0,-2623.0,-1824.0,-340.0,-528.0,-361.0,-171.0,-380.0,2586.0,2004.0,2300.0,288.0,298.0,306.0,260.0,276.0,320.0,301.0,331.0,369.0,1738.0,738.0,1704.0,292.0,353.0,358.0,192.0,417.0,395990.0,403102.0,406479.0,15579.0,16090.0,16161.0,19069.0,19620.0,19588.0,41523.0,41689.0,40579.0,4.965820391535799,29.1970553347635,14.775222555896123,-8.742242676040119,19.00247040699144,17.016539497811074,-0.5029597465203414,20.698062358078168,147355.83145266236,146995.61882097082,147437.76348111307,5264.898425940781,5366.412856302476,5343.87721268517,4517.118295095995,4643.403943169867,4599.4285790684,5369.214521275648,5190.148671051928,5038.080592545056,560.5012238286301,133.79830161992672,235.9940402386025,36.914979789699856,36.84037307786016,15.874721124953318,14.080170525280804,16.940312449608793,41617.38768010736,41082.20696425774,41841.54509169744,3549.303571156925,3605.620952317823,3584.984833603344,4550.216771128603,4629.085473752747,4636.905772420752,9224.051591736614,8971.370922167638,8759.531602809146,-8.005567537694569,-0.4965987732776642,0.00669723662725,0.0091140998485617,-0.1635483173579587,0.0173263438610401,0.1001895967606169,0.2696883404524162,-0.501637002822898,-0.7388036709921778,-0.4042046165139049,0.2713116683253206,0.3228895665879607,0.3229980384593858,1.0568792478680298,1.106017302582411,1.1073334702753883,1.734897142972648,1.7529393638711732,1.8000049924848622,124.19264041581675,1.374541989275193,0.5270288380556529,2.3009626589378307,1.790301382139014,9.0349266228762,3.299130649086962,20.61213431294782,6.672194398805765,6.61510121100112,7.147743890690856,-0.7276445233036313,-0.6456451920977129,-0.6471101154647365,0.3971950934537589,0.5667464634125672,0.5946481577207785,1.7954174406111,1.870049466270291,2.0704071331142604,5,2,1,5,8.0,36.67,80,45,0.918367347,2,-406.39118627842845,3008.87029133265,3004.9698502185806,1738.0,-20374.0,22112.0,29282.16038622174,83969.53244997919,88376.45826129211,406479.0,-0.7388036709921778,406479.738803671,0.0340019266363916,2.181619793247347
-16708.0,-1220.0,-1747.0,-253.0,-326.0,-229.0,-150.0,-249.0,2726.0,2688.0,3546.0,284.0,290.0,314.0,268.0,285.0,328.0,303.0,329.0,361.0,1486.0,650.0,1370.0,246.0,276.0,246.0,139.0,302.0,386236.0,397825.0,380273.0,13311.0,13474.0,13436.0,19983.0,20910.0,20645.0,33679.0,34081.0,33755.0,4.216762402053009,23.98002535441041,13.238980043161398,-9.681795300462092,18.492361144879705,16.41396040410903,-0.8995343472814552,20.22469267536972,154747.92558983667,154816.80125329588,154833.91398144027,5363.443276375715,5553.950450296203,5548.160736910591,5127.693490394822,5457.404855665513,5188.833202068281,2776.383248296408,2741.715953840359,2783.1061534773826,358.84578828545574,136.5729063576036,235.74890106590124,39.47786719002161,40.81051277027971,17.06120522890271,14.85797069434345,19.178287803648743,47803.7467624783,47789.65689000963,47484.065782908896,3453.496345842143,3477.8198867565634,3441.3153881088724,4823.604544261374,4946.701927507518,4941.879664553465,6197.169067894832,6158.452654089023,6281.136963637051,-5.922232120033127,-0.4933004450605875,0.0083196311209429,-0.0614569210346445,-0.2534016017905349,-0.153990003001627,0.0502386850331665,0.1610609493406435,-0.4983393193918936,-0.4588989452515319,-0.5439109729169389,0.1139375028739087,0.0842838414764902,0.0731261818534938,0.9673717407857948,0.99833306515322,1.0346594938908638,2.9971134264844363,3.1198996332114404,3.062776465882836,109.60009838967297,1.0484298096655629,0.6297678012462171,2.9063867565026174,1.8552527754026364,11.074310624445362,4.005883488545223,17.83752801388872,3.974772955659926,4.350923887380337,3.854842589077392,-0.888541304926111,-0.8630801398508843,-0.8586458469612195,0.2491275594071336,0.4274426318384652,0.450085758374223,8.274778189508039,9.163139240688215,8.614745210120805,6,2,1,5,8.0,36.67,80,44,0.897959184,2,-314.0868377582013,2459.4866597470145,2453.9158060154473,1486.0,-16708.0,18194.0,28765.501083510982,81954.2814376522,86317.28400125584,397825.0,-0.888541304926111,397825.8885413049,0.028429020147938345,2.181619793247347
-18703.0,-1123.0,-1576.0,-260.0,-437.0,-205.0,-139.0,-255.0,2094.0,1894.0,2646.0,287.0,300.0,318.0,260.0,277.0,326.0,308.0,339.0,359.0,1483.0,650.0,1388.0,193.0,206.0,240.0,138.0,296.0,353909.0,365211.0,374508.0,12670.0,13077.0,12936.0,19638.0,20370.0,20112.0,55693.0,57432.0,56515.0,8.199589018460092,35.365459161924285,12.895912109617369,-9.06212109424478,20.23509147104001,16.403932743565395,-1.469820954271874,19.808042944741885,146763.40913620728,146860.32703250073,146863.19638666537,4393.672260262963,4545.786318192047,4551.023370945446,3817.331886713601,4066.785932426785,3864.904040891118,5994.666763107982,6031.195808017488,5998.804963513036,436.3832901958951,131.94487446308636,225.52716573333663,30.14426275601839,30.014461641728182,13.63051080251397,11.668754679157688,14.856969229544216,56417.091380826845,57203.458306489374,57139.15723783847,3553.7579077154905,3627.992567049391,3598.873590990296,4258.624998886301,4381.1053957444,4290.203403110452,12007.277005112188,12115.697468877754,12076.771245204374,-7.871789359114883,-0.2942584623621314,0.0044838191963794,-0.3008162995299759,-0.324185810416581,-0.0769009418147353,0.0318886931067888,-0.0938768060544292,-0.657950302682228,-0.5313757425314228,-0.513656966146856,0.3048965127899746,0.2788566083065182,0.2626239597911062,1.2978602992018915,1.267233299814363,1.3471507468443638,2.4511961644903506,2.505099051445768,2.492674906530948,139.42439982554032,0.6060366200266794,0.8413907919731756,6.639695377380567,2.956748334704363,12.34833832059787,5.541451530168773,21.817066958884183,2.1835161753376564,2.3034530402194884,2.349989909577358,-1.1634656195711082,-1.150770267285148,-1.166958463007406,1.3531029912907622,1.351340065386962,1.5655824993897625,5.314950634714483,5.697026418510257,5.5796211017712025,7,2,1,5,8.0,36.67,80,43,0.87755102,2,-352.62924901053344,2740.707960681967,2734.8379008118336,1483.0,-18703.0,20186.0,28971.317172282128,77360.6041695231,82102.86216478777,374508.0,-1.166958463007406,374509.166958463,0.03330989722732759,2.181619793247347
-20865.0,-1369.0,-1996.0,-392.0,-717.0,-254.0,-152.0,-271.0,329.0,473.0,321.0,258.0,286.0,307.0,244.0,271.0,326.0,244.0,246.0,298.0,1858.0,700.0,1795.0,267.0,323.0,257.0,156.0,347.0,419746.0,405627.0,412053.0,12307.0,13244.0,12716.0,19283.0,19860.0,19767.0,52890.0,53994.0,53197.0,-20.88418810855936,-1.0701303082978442,9.929522967479269,-12.583027449223238,15.87896390800873,15.04329051955958,-1.947747992833477,19.05675875528671,139583.98246432858,140072.96342845712,140262.08981197493,4158.480897452993,4363.510868115749,4356.647452993732,3389.5583744499268,3681.6389851980266,3412.231664221896,8704.374216562208,8705.26513535138,8559.339245232697,573.9346708899625,143.19986848740658,220.6850558696651,28.878691173628123,30.330404552429734,13.458966259522276,11.562034444708626,15.444265673228996,59680.87441015148,60041.480022565534,60179.494723612406,3123.398265591268,3190.329008018737,3154.361624987748,3674.717611948328,3783.474638516522,3725.052157323726,14481.931145648645,14461.296891601763,14289.042155293577,-8.32011403988914,-1.018158241764343,0.0056245075799407,-0.0173650118073227,-0.4490430713890115,-0.2620050286823083,-0.0195905236459921,-0.0152228499978365,-0.4467163545963674,-0.4241081163008561,-0.4092796980005684,0.1267361864369098,0.0983744298717142,0.0646313392956949,1.2964517364165684,1.2315125286958932,1.4044082242960532,1.6929591607523526,1.7209740799091475,1.7290400852752663,131.00642176988782,3.802961142989494,0.8499145456170014,5.07103555811144,5.2951878550932125,18.86140854892196,7.220569218890834,23.315567994262427,2.8459733291871494,2.858012850391277,2.904133094564764,-1.2785147455556771,-1.2029845672116135,-1.2721953710256633,1.7631916849171798,1.5946884694683918,2.210576715269859,1.6178355461385054,1.7507761963482498,1.7728160413118583,8,2,1,5,8.0,36.67,80,42,0.857142857,2,-397.22407099966375,3068.1367012950564,3061.8843824857895,1858.0,-20865.0,22723.0,30713.141451283955,85855.8332202102,90620.87531728983,419746.0,-1.2785147455556771,419747.2785147455,0.03378784823840491,2.181619793247347
-21500.0,-2483.0,-2090.0,-306.0,-484.0,-273.0,-236.0,-416.0,2328.0,2204.0,2894.0,287.0,307.0,321.0,262.0,281.0,325.0,318.0,325.0,368.0,2773.0,773.0,1652.0,269.0,289.0,362.0,255.0,507.0,373896.0,352343.0,355904.0,15593.0,16295.0,15863.0,19508.0,20248.0,20093.0,45259.0,45870.0,44521.0,-0.6154596636098699,23.482343703021463,12.650024372712476,-11.650200747094582,17.600151013829404,15.115840969936968,-1.9309496090128384,19.7012041951958,143655.02277380653,143480.991307159,143711.97605876648,5206.406695642803,5326.457685261683,5296.543176838249,4499.690524084916,4604.062843492941,4577.133014835303,5007.069075757032,4818.686626674808,4713.2305578504975,644.5909412735334,134.5527331304477,238.2278988079835,35.643578184492185,37.57540518765927,16.064959095432307,14.13428707065669,17.575337555969057,47131.932065505214,47132.262176190336,47069.35555016154,3576.844502366394,3635.965257178623,3592.3880007647804,4549.6868169315,4625.908945791435,4625.814512548307,9121.28020159499,8866.150551317372,8670.677744928687,-7.902251145486701,-0.4241922751734219,0.0073715707733767,-0.0741328195211586,-0.1434648868825004,-0.0683186885982639,-0.0126183425329536,0.2250356714503354,-1.063575852190537,-1.0595606326919569,-1.0679257762196823,0.2358144394278556,0.2780593410865479,0.2625678355467133,1.0294046856046055,1.0756831870142085,1.0754605938657786,1.884182157680797,1.923550979564836,1.946428540225436,113.71713491338564,1.39208545895716,0.7174117762567502,2.300696560045184,1.821086148157499,10.002731995155733,4.102636882591564,19.248336845325035,4.261346612014138,3.95819692337598,4.020898977757204,-0.9099702193081284,-0.8514111071075767,-0.9010381295568536,0.2963711134447218,0.4600684104643537,0.4687503893223717,2.438609023411772,2.699929270273949,2.779168598416682,9,2,1,5,8.0,36.67,80,41,0.836734694,2,-407.29942407906145,3187.6955679339267,3180.5030982759163,2773.0,-21500.0,24273.0,27821.302467705704,76183.73377137563,80606.2999327997,373896.0,-1.0679257762196823,373897.06792577624,0.03945725211165875,2.181619793247347
-20305.0,-2034.0,-1444.0,-261.0,-360.0,-217.0,-167.0,-246.0,1919.0,1871.0,2458.0,288.0,300.0,320.0,269.0,299.0,322.0,313.0,325.0,367.0,1749.0,678.0,1533.0,267.0,338.0,294.0,164.0,347.0,386457.0,369023.0,374683.0,13781.0,13865.0,13976.0,19186.0,19828.0,19452.0,52471.0,53854.0,53130.0,10.072610901802662,39.93927371122699,13.102591785983718,-10.27306691772446,20.06322881517312,15.289527980267398,-1.931839157488396,19.089353954974747,149633.9225108833,148952.76649347003,149179.05839067546,4578.095548378037,4728.4125544165145,4737.645414969808,5395.195197303749,5663.19050695127,5452.526021626176,4664.585535739362,4687.269849740205,4695.777334644011,627.3389859975337,145.73268995206558,236.90207586555505,30.39752664403815,33.15345947205205,14.264564979697862,12.68637399613473,15.801564370506131,50933.03546298185,50143.56704134037,50856.31717138961,3788.926039479835,3846.2064791298944,3817.112781552399,4489.654463648585,4546.7847890273415,4538.348268776935,10030.745007489382,10069.806829607003,10048.25620310754,-8.892362060125247,-0.3587940414595508,0.0027183416917064,-0.259533748575561,-0.265975698884712,0.0071475021085442,0.1230583824884062,0.3424894006498624,-0.4656933057682092,-0.6145548469414103,-0.4472455235637921,0.3492480943559289,0.3209018963018679,0.30334052863818,0.4624474230857111,0.4379715246631342,0.4910796588566288,2.720393446232424,2.764358603887666,2.738583913910989,139.5605936521088,0.950237124305504,0.7946161721138916,4.337402196383735,2.338077145103603,13.021814591472276,5.168138680191941,19.640501862582305,3.853884315745456,3.5073851000091816,3.733531293298428,-1.0727139888281416,-1.0898971911483564,-1.101591358726234,-0.7831079907134537,-0.7284855763284916,-0.7172686664828123,7.119533197441866,7.498831547185299,7.288745586818518,10,2,1,5,8.0,36.67,80,40,0.816326531,2,-380.5387697530425,2984.6501151423618,2977.8112586232255,1749.0,-20305.0,22054.0,29142.649660750158,79623.21221871425,84268.00341040044,386457.0,-1.101591358726234,386458.1015913587,0.0353373894962885,2.181619793247347
