ToolID,CycleToFailure,CycleToFailureNormalized,Current___Driving_axle_X_L2___mean_RollingMean,Current - Driving axle X L2 - mean,Current___Driving_axle_X_L2___max_RollingMean,Current___Driving_axle_Y_L1___mean_RollingMean,Current - Driving axle X L1 - std,Current___Driving_axle_X_L1___skew_RollingMean,Current___Spindle_L3___mean_RollingMean,Current - Driving axle X L1 - max,Current___Driving_axle_X_L2___mean_BaselineDeviation,Current___Driving_axle_Y_L2___mean_RollingSTD,Current___Driving_axle_Y_L2___std_RollingSTD,Current - Spindle L3 - mean,Current___Driving_axle_X_L1___std_BaselineDeviation,Current - Driving axle Y L2 - mean,Current - Driving axle Y L3 - mean,Current - Driving axle Y L2 - std,Current___Driving_axle_X_L1___mean_RollingSTD,Current___Driving_axle_Y_L3___mean_RollingSTD,Current___Driving_axle_Y_L1___mean_RollingSTD,Current___Driving_axle_Y_L2___kurtosis_RollingMean,Current - Driving axle X L1 - skew,Current___Driving_axle_Y_L2___std_BaselineDeviation,Current___Driving_axle_X_L2___max_BaselineDeviation,Current___Driving_axle_Y_L1___mean_BaselineDeviation,Current___Driving_axle_Y_L2___mean_BaselineDeviation,Current___Spindle_L3___kurtosis_RollingSTD,Current___Spindle_L3___std_RollingMean,Current___Driving_axle_Y_L1___max_RollingMean,Current___Driving_axle_Y_L1___max_BaselineDeviation,Current - Driving axle Y L1 - max,Accelerometer___Spindle_plusY___min_RollingSTD,Accelerometer - Y Driving axle -X - std,Current___Driving_axle_X_L1___skew_BaselineDeviation,Accelerometer___X_Driving_axle__X___skew_RollingMean,Accelerometer___Y_Driving_axle__X___kurtosis_RollingMean,Current___Spindle_L3___kurtosis_RollingMean,Current___Driving_axle_Y_L2___min_RollingSTD,Current___Spindle_L2___mean_RollingSTD,Accelerometer___Spindle__X___max_RollingMean,Accelerometer - Spindle +Y - skew
2,49,1.0,5213.782025386825,5213.782025386825,13297.0,4422.503177985732,3234.7386194735936,0.0860175545818063,146761.47723524505,12854.0,0.0,,,146761.47723524505,0.0,4569.157342722135,4503.373946076161,4308.164642998167,,,,-0.3710054093470769,0.0860175545818063,0.0,0.0,0.0,0.0,,38097.7521307897,14857.0,0.0,14857.0,,14.350767161805306,0.0,-0.1438521641086512,1.91475418040016,6.650773583069993,,,1978.0,-8.162489286618888
2,48,0.979591837,5201.5476997906935,5189.313374194562,13493.5,4765.472663957506,3564.548480689119,0.1569553714598039,150157.39104572247,13385.0,-24.46865119226277,648.5238487467801,398.2445855360448,153553.30485619992,329.8098612155254,5486.308565142229,5222.735690711928,4871.367537004894,56.048846330575664,508.6655677581368,485.0320985414115,-0.5076755949202838,0.2278931883378016,563.2028940067266,393.0,685.9389719435476,917.1512224200942,2.378529441558928,45970.65665174226,15089.5,465.0,15322.0,953.179941039466,14.544387440385853,0.1418756337559953,-0.1747614451983162,2.070599672473704,4.968899285691823,17.67766952966369,4948.8200870735045,1780.0,-9.30656199938995
2,47,0.959183673,4740.297133390327,3817.796000589594,15306.333333333334,4335.964104539122,3723.369163179466,0.4204495806477021,147033.0459458422,18546.0,-1395.986024797231,863.5381033445623,285.9182462269904,140784.35574608165,488.6305437058722,3760.365842873288,3542.337566943448,4675.495931441893,809.6736481609219,843.0905542532741,819.1830541147133,0.3307036173367763,0.9474379990234986,367.3312884437255,5635.0,-945.556192283378,-808.7914998488468,2.063806021155935,48775.17377693206,17742.333333333332,8191.0,23048.0,3142.3284360486573,18.712431320758974,0.8614204444416923,-0.1068011162623448,53.389359678534255,4.278345367744262,16.441816606851358,6909.619428487871,1703.0,-4.977790886086608
2,46,0.93877551,4456.133220706282,3603.6414826541472,14093.75,4359.117577135133,3175.931906578182,0.4260661633055608,145084.34562023,9360.0,-1610.1405427326777,706.286186197153,309.6643412653155,139238.2446433933,-58.80671289541169,4687.936539563829,4487.194557414636,4211.43972487478,879.3534501116119,689.1327496606727,670.4612222981206,0.2573436992196048,0.4429159112791368,-96.7249181233874,-2841.0,6.074816937433752,118.7791968416941,1.720932690466052,49611.0410730056,18175.75,4619.0,19476.0,2802.3111295262465,11.967553733609922,0.3568983566973305,-0.09907449962747,42.8129964291861,4.103646247963711,15.21786231155129,6867.7939204784125,1687.5,-6.816490102796722
2,45,0.918367347,4638.189147825521,5366.412856302476,14493.0,4390.717720727305,3549.303571156925,0.3951152643095127,145555.0291924066,15579.0,152.63083091565113,611.7116281342227,272.8531409879738,147437.76348111307,314.5649516833314,4643.403943169867,4599.4285790684,4629.085473752747,872.9025493766225,601.1082885527014,584.920108501449,0.3192242520581973,0.2713116683253206,320.9208307545796,2793.0,94.61511711026289,74.24660044773191,2.018542317001909,48057.14187674397,18354.4,4212.0,19069.0,2723.4348165506,16.940312449608793,0.1852941137435143,-0.1119692631735677,38.37282400593845,4.7124657765091404,14.35966573427111,6003.418831917478,1690.8,-8.005567537694569
2,44,0.897959184,4706.222832807396,5553.950450296203,14528.4,4531.755783209123,3453.496345842143,0.4006992539679332,147169.51654164563,13311.0,340.1684249093778,710.7864313556514,286.81176294436096,154833.91398144027,218.75772636854936,5457.404855665513,5188.833202068281,4946.701927507518,923.3712282697792,682.9295291991293,672.9023754895956,0.4789138602953057,0.1139375028739087,638.5372845093507,177.0,705.1903124090904,888.2475129433788,1.7112193529850213,49934.40460716781,19379.6,5126.0,19983.0,2381.668574760141,19.178287803648743,0.0279199482921024,-0.1338791507099444,41.55737877263616,4.15327957771062,14.370107863199909,7347.567920693373,1569.2,-5.922232120033127
2,43,0.87755102,4577.517421606894,4545.786318192047,14405.8,4273.533730565987,3553.7579077154905,0.4160999188583679,145831.49484773874,12670.0,-667.9957071947783,652.7931483270372,283.1800892384256,146863.19638666537,319.0192882418969,4066.785932426785,3864.904040891118,4381.1053957444,884.5216685658631,646.4148988000786,643.3567485705231,0.8780510294713963,0.3048965127899746,72.94075274623265,-220.0,-605.1712912721309,-502.3714102953495,1.8734284321739043,50593.52382019654,20242.8,4781.0,19638.0,2280.142758688587,14.856969229544216,0.2188789582081683,-0.1575821675356644,45.47550313150354,3.965872561963361,3.5637059362410675,6261.920968521382,1530.4,-7.871789359114883
2,42,0.857142857,4686.660395112124,4363.510868115749,13268.2,4256.0560083155015,3123.398265591268,0.2519595563410501,145727.0416609174,12307.0,-850.2711572710759,676.3175557340393,437.8681726972015,140262.08981197493,-111.34035388232589,3681.6389851980266,3412.231664221896,3783.474638516522,802.6068976766181,687.6793701317641,671.0004206365469,0.7954963149948954,0.1267361864369098,-524.6900044816452,-53.0,-1032.944803535805,-887.5183575241081,1.8724473771776533,51752.58115945669,19489.8,4426.0,19283.0,2180.1946014060304,15.444265673228996,0.0407186318551034,-0.2532146901353863,18.93324079222496,3.967251674506485,5.029910535983694,6300.250565826947,1579.6,-8.32011403988914
2,41,0.836734694,5031.223635633631,5326.457685261683,14436.0,4270.278514147853,3576.844502366394,0.2105392619707938,146621.787943992,15593.0,112.67565987485796,671.7460012149322,434.7490234417926,143711.97605876648,342.1058828928003,4604.062843492941,4577.133014835303,4625.908945791435,558.0044136595739,694.5975032111712,676.3040738137096,0.880057208114148,0.2358144394278556,317.7443027932677,2998.0,77.18734609918465,34.90550077080661,1.859962588597248,50742.72367724375,19496.2,4651.0,19508.0,1934.7528265905185,17.575337555969057,0.1497968848460493,-0.2667287375673173,20.56612682506164,4.055521692333516,5.291502622129159,5476.105616121796,1581.8,-7.902251145486701
2,40,0.816326531,4903.623575256439,4728.4125544165145,13991.0,4445.893894589402,3788.926039479835,0.2261265471769155,146970.04692590452,13781.0,-485.3694709703104,858.5563921870457,428.8926764910731,149179.05839067546,554.1874200062412,5663.19050695127,5452.526021626176,4546.7847890273415,522.1439322745456,862.3122274945937,848.5064316747787,0.6210108001659362,0.3492480943559289,238.62014602917407,568.0,972.6920193180176,1094.0331642291358,0.7155965142703912,52545.67809318218,19519.6,4329.0,19186.0,1928.3549206512787,15.801564370506131,0.2632305397741226,-0.2872142138726679,20.37180033498853,3.3726791728550287,10.526157893552597,5593.952647062466,1547.6,-8.892362060125247
