Model,MAE,RMSE,R2
Random Forest,25.595618320610686,31.634845897551518,-0.8680298171443093
Extra Trees,26.033847328244278,32.26888677424208,-0.9436601204072619
Gradient Boosting,27.12300396620985,33.197766487457386,-1.0571695589205135
