,0
Current - Driving axle X L1 - skew,0.00029946427471294027
Accelerometer - Spindle +Y - min,0.00029781517976088645
Current - Driving axle Y L1 - kurtosis,0.0002918118761640341
Current - Driving axle Y L1 - skew,0.00028704661856706926
Current - Driving axle Y L1 - mean,0.00028604256882729437
Current - Driving axle Z L2 - mean,0.00027992288916181156
Current - Driving axle X L3 - max,0.00025685366472042294
Current - Driving axle X L2 - skew,0.00025525775594217734
Current - Driving axle Z L2 - skew,0.0002447433099805172
Current - Driving axle X L1 - max,0.00022811535919446143
Current - Driving axle Z L1 - kurtosis,0.00021412189102229575
Current - Driving axle Z L1 - skew,0.00020336086588240853
Current - Driving axle Z L3 - std,0.0002007316201320985
Current - Driving axle Z L1 - mean,0.00018484035812864572
ADOC,0.00017441680074709915
ToolHolderLength,4.864024898320826e-06
RDOC,0.0
